track,artist,spotify_playlist,spotify_charts,spotify_streams,apple_playlist,deezer_playlist,deezer_charts,shazam_charts,datetime,is_outlier
Boo'd Up,Ella Mai,9749.0,2909695.0,79783827.0,21.0,9.0,474845.0,4230367.0,2018-10-12,True
A Mï¿,Rels B,82632.0,15285194.0,631152992.0,16.0,12.0,222155.0,1136830.0,2019-02-21,True
Buttabomma - Telugu,Armaan Malik,8924.0,2240190.0,92120986.0,8.0,15.0,237120.5,156960.0,2019-12-24,False
Burn It Down,Parker McCollum,7018.0,6690589.0,42332727.0,22.0,6.0,1675871.0,307193.0,2023-05-12,True
Tu Fan,mafalda cardenal,8193.0,4692658.0,65670361.0,2.0,15.0,237120.5,467250.0,2023-05-26,True
Whole Lotta Choppas,Sada Baby,16559.0,2391593.0,55312275.0,19.0,3.0,1550.0,732768.0,2020-08-14,True
Heartless,Kanye West,261770.0,60550990.0,1315577954.0,96.0,26.0,207876.0,3795507.0,2008-01-01,True
Galaxy Express,D Gerrard,1513.0,1465628.0,20710234.0,7.0,15.0,237120.5,58364.0,2024-01-05,False
Skate,Bruno Mars,70726.0,16159530.0,248947222.0,95.0,51.0,781953.0,1701042.0,2021-07-30,True
Mercy,Shawn Mendes,114379.0,33997882.0,1351515181.0,14.0,33.0,125150.0,5017015.0,2016-08-18,True
Dame Tu Cosita (feat. Cutty Ranks),El Chombo,11423.0,1899926.0,47325533.0,3.0,2.0,428.0,580948.0,2018-04-15,True
Enemy - from the series Arcane League of Legends,Imagine Dragons,57092.0,6389142.0,313209345.0,6.0,1.0,173.0,9602713.0,2021-10-27,True
Dear John,Wild Child,152.0,7172.0,271785.0,28.0,15.0,237120.5,854584.0,2023-03-31,True
Mount Everest,Labrinth,128472.0,33056872.0,612159812.0,32.0,23.0,112133.0,4948372.0,2019-06-21,True
Escï¿½ï¿½n,ýýengo Flow,11841.0,9184869.0,63748913.0,4.0,4.0,34988.0,202893.0,2023-08-25,True
LAISSE MOI,KeBlack,12362.0,2698463.0,76805130.0,7.0,17.0,6791140.0,972269.0,2023-09-08,True
This Is The Life,LIZOT,23003.0,14286816.0,72773866.0,15.0,21.0,317385.0,209235.0,2023-10-13,True
Baianï¿,Bakermat,128641.0,26735486.0,402771910.0,76.0,84.0,7706000.0,3135726.0,2019-07-26,True
Homicide (feat. Eminem),Logic,102549.0,19459269.0,526019789.0,16.0,10.0,32864.0,850346.0,2019-05-03,True
More Than My Hometown,Morgan Wallen,55067.0,8724047.0,503296417.0,27.0,3.0,3237.0,986413.0,2020-04-17,True
Work Out,J. Cole,199078.0,33681550.0,955547971.0,42.0,13.0,46065.0,5104518.0,2011-07-04,True
Soltera,Lunay,5488.0,1084442.0,170646969.0,5.0,15.0,237120.5,854584.0,2019-10-25,True
Fall In Love Alone,Stacey Ryan,28158.0,11808223.0,250626750.0,17.0,8.0,296083.0,438027.0,2022-05-13,True
Huntinï¿½ï¿½ï¿½ W,J. Cole,5914.0,4824184.0,36972292.0,3.0,15.0,237120.5,66418.0,2024-04-05,False
Plain Jane,A$AP Ferg,146447.0,26777778.0,733772721.0,104.0,13.0,60539.0,7570376.0,2017-08-04,True
ORANGE SODA,Baby Keem,183862.0,33470385.0,676690653.0,34.0,8.0,26697.0,1211769.0,2019-07-16,True
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,6881.0,1871089.0,21634137.0,10.0,5.0,12192.0,282245.0,2021-03-20,True
Righteous,Juice WRLD,108088.0,18837961.0,553627198.0,32.0,12.0,64179.0,672702.0,2020-04-24,True
Tï¿½ï¿½ ,Ozuna,31360.0,12078276.0,500508660.0,12.0,2.0,41455.0,1325578.0,2017-08-25,True
Casei Com a Putaria,Mc Paiva ZS,31242.0,9239751.0,255564797.0,28.0,23.0,2170095.0,854584.0,2022-07-01,True
